a,b,c,triplets_mapped,co
34,217,129,"(34, 217, 129)",2
34,129,217,"(34, 129, 217)",2
129,217,34,"(129, 217, 34)",2
129,34,217,"(129, 34, 217)",2
104,121,269,"(104, 121, 269)",2
3,156,198,"(3, 156, 198)",2
215,12,10,"(215, 12, 10)",2
234,34,179,"(234, 34, 179)",2
108,8,9,"(108, 8, 9)",2
273,68,30,"(273, 68, 30)",2
379,42,64,"(379, 42, 64)",2
179,48,7,"(179, 48, 7)",2
179,7,48,"(179, 7, 48)",2
48,179,7,"(48, 179, 7)",2
48,7,179,"(48, 7, 179)",2
7,179,48,"(7, 179, 48)",2
7,48,179,"(7, 48, 179)",2
42,64,379,"(42, 64, 379)",2
42,379,64,"(42, 379, 64)",2
64,42,379,"(64, 42, 379)",2
64,379,42,"(64, 379, 42)",2
81,41,68,"(81, 41, 68)",2
81,68,41,"(81, 68, 41)",2
41,81,68,"(41, 81, 68)",2
108,7,8,"(108, 7, 8)",2
379,64,42,"(379, 64, 42)",2
41,68,81,"(41, 68, 81)",2
240,190,300,"(240, 190, 300)",2
68,81,41,"(68, 81, 41)",2
240,300,190,"(240, 300, 190)",2
68,41,81,"(68, 41, 81)",2
190,240,300,"(190, 240, 300)",2
140,189,126,"(140, 189, 126)",2
190,300,240,"(190, 300, 240)",2
140,126,189,"(140, 126, 189)",2
300,240,190,"(300, 240, 190)",2
300,190,240,"(300, 190, 240)",2
110,300,12,"(110, 300, 12)",2
110,300,10,"(110, 300, 10)",2
110,12,300,"(110, 12, 300)",2
110,10,300,"(110, 10, 300)",2
108,7,9,"(108, 7, 9)",2
108,9,8,"(108, 9, 8)",2
108,9,7,"(108, 9, 7)",2
8,108,7,"(8, 108, 7)",2
8,108,9,"(8, 108, 9)",2
8,7,108,"(8, 7, 108)",2
8,9,108,"(8, 9, 108)",2
7,108,8,"(7, 108, 8)",2
7,108,9,"(7, 108, 9)",2
7,8,108,"(7, 8, 108)",2
7,9,108,"(7, 9, 108)",2
9,108,8,"(9, 108, 8)",2
9,108,7,"(9, 108, 7)",2
9,8,108,"(9, 8, 108)",2
9,7,108,"(9, 7, 108)",2
61,233,124,"(61, 233, 124)",2
61,124,233,"(61, 124, 233)",2
10,300,110,"(10, 300, 110)",2
10,110,300,"(10, 110, 300)",2
12,300,110,"(12, 300, 110)",2
12,110,300,"(12, 110, 300)",2
300,10,110,"(300, 10, 110)",2
300,12,110,"(300, 12, 110)",2
300,110,10,"(300, 110, 10)",2
300,110,12,"(300, 110, 12)",2
87,378,0,"(87, 378, 0)",2
269,121,104,"(269, 121, 104)",2
127,16,50,"(127, 16, 50)",2
42,155,159,"(42, 155, 159)",2
121,122,155,"(121, 122, 155)",2
121,155,122,"(121, 155, 122)",2
109,30,147,"(109, 30, 147)",2
85,84,179,"(85, 84, 179)",2
85,179,84,"(85, 179, 84)",2
84,85,179,"(84, 85, 179)",2
84,179,85,"(84, 179, 85)",2
179,85,84,"(179, 85, 84)",2
179,84,85,"(179, 84, 85)",2
256,108,107,"(256, 108, 107)",2
42,159,155,"(42, 159, 155)",2
256,107,108,"(256, 107, 108)",2
108,256,107,"(108, 256, 107)",2
220,126,155,"(220, 126, 155)",2
108,107,256,"(108, 107, 256)",2
159,42,155,"(159, 42, 155)",2
159,220,126,"(159, 220, 126)",2
159,126,220,"(159, 126, 220)",2
159,126,155,"(159, 126, 155)",2
192,191,271,"(192, 191, 271)",2
159,155,42,"(159, 155, 42)",2
159,155,126,"(159, 155, 126)",2
107,256,108,"(107, 256, 108)",2
192,271,191,"(192, 271, 191)",2
107,108,256,"(107, 108, 256)",2
220,159,126,"(220, 159, 126)",2
155,121,122,"(155, 121, 122)",2
155,122,121,"(155, 122, 121)",2
122,121,155,"(122, 121, 155)",2
122,155,121,"(122, 155, 121)",2
50,127,16,"(50, 127, 16)",2
50,16,127,"(50, 16, 127)",2
16,127,50,"(16, 127, 50)",2
16,50,127,"(16, 50, 127)",2
38,37,140,"(38, 37, 140)",2
38,140,37,"(38, 140, 37)",2
212,33,218,"(212, 33, 218)",2
260,75,32,"(260, 75, 32)",2
30,147,109,"(30, 147, 109)",2
260,32,75,"(260, 32, 75)",2
75,260,32,"(75, 260, 32)",2
212,218,33,"(212, 218, 33)",2
75,32,260,"(75, 32, 260)",2
111,0,2,"(111, 0, 2)",2
111,2,0,"(111, 2, 0)",2
0,111,2,"(0, 111, 2)",2
32,260,75,"(32, 260, 75)",2
0,2,111,"(0, 2, 111)",2
32,75,260,"(32, 75, 260)",2
2,111,0,"(2, 111, 0)",2
2,0,111,"(2, 0, 111)",2
218,33,212,"(218, 33, 212)",2
218,212,33,"(218, 212, 33)",2
30,109,147,"(30, 109, 147)",2
109,147,30,"(109, 147, 30)",2
220,126,159,"(220, 126, 159)",2
220,155,126,"(220, 155, 126)",2
191,192,104,"(191, 192, 104)",2
26,35,48,"(26, 35, 48)",2
68,155,42,"(68, 155, 42)",2
68,159,190,"(68, 159, 190)",2
68,159,42,"(68, 159, 42)",2
68,190,159,"(68, 190, 159)",2
68,42,155,"(68, 42, 155)",2
68,42,159,"(68, 42, 159)",2
42,155,68,"(42, 155, 68)",2
42,159,68,"(42, 159, 68)",2
42,68,155,"(42, 68, 155)",2
42,68,159,"(42, 68, 159)",2
35,26,48,"(35, 26, 48)",2
35,48,26,"(35, 48, 26)",2
26,48,35,"(26, 48, 35)",2
126,159,220,"(126, 159, 220)",2
233,124,61,"(233, 124, 61)",2
48,35,26,"(48, 35, 26)",2
121,269,104,"(121, 269, 104)",2
48,26,35,"(48, 26, 35)",2
104,191,192,"(104, 191, 192)",2
104,192,191,"(104, 192, 191)",2
378,0,87,"(378, 0, 87)",2
121,104,269,"(121, 104, 269)",2
378,87,0,"(378, 87, 0)",2
191,104,192,"(191, 104, 192)",2
0,378,87,"(0, 378, 87)",2
0,87,378,"(0, 87, 378)",2
190,68,159,"(190, 68, 159)",2
190,159,68,"(190, 159, 68)",2
159,42,68,"(159, 42, 68)",2
159,68,42,"(159, 68, 42)",2
126,159,155,"(126, 159, 155)",2
126,220,159,"(126, 220, 159)",2
126,220,155,"(126, 220, 155)",2
126,155,159,"(126, 155, 159)",2
126,155,220,"(126, 155, 220)",2
155,42,159,"(155, 42, 159)",2
155,159,42,"(155, 159, 42)",2
155,159,126,"(155, 159, 126)",2
191,192,271,"(191, 192, 271)",2
155,220,126,"(155, 220, 126)",2
155,126,159,"(155, 126, 159)",2
155,126,220,"(155, 126, 220)",2
155,148,42,"(155, 148, 42)",2
155,42,148,"(155, 42, 148)",2
191,271,192,"(191, 271, 192)",2
148,155,42,"(148, 155, 42)",2
271,192,191,"(271, 192, 191)",2
148,42,155,"(148, 42, 155)",2
271,191,192,"(271, 191, 192)",2
42,155,148,"(42, 155, 148)",2
42,148,155,"(42, 148, 155)",2
155,68,42,"(155, 68, 42)",2
155,42,68,"(155, 42, 68)",2
159,190,68,"(159, 190, 68)",2
159,68,190,"(159, 68, 190)",2
52,72,186,"(52, 72, 186)",2
72,186,52,"(72, 186, 52)",2
380,278,279,"(380, 278, 279)",2
94,327,326,"(94, 327, 326)",2
94,258,240,"(94, 258, 240)",2
94,240,258,"(94, 240, 258)",2
240,258,94,"(240, 258, 94)",2
240,94,258,"(240, 94, 258)",2
327,94,326,"(327, 94, 326)",2
198,156,381,"(198, 156, 381)",2
198,381,156,"(198, 381, 156)",2
156,198,381,"(156, 198, 381)",2
156,381,198,"(156, 381, 198)",2
381,198,156,"(381, 198, 156)",2
381,156,198,"(381, 156, 198)",2
327,326,94,"(327, 326, 94)",2
94,326,327,"(94, 326, 327)",2
258,94,240,"(258, 94, 240)",2
326,327,94,"(326, 327, 94)",2
326,94,327,"(326, 94, 327)",2
182,3,35,"(182, 3, 35)",2
182,3,2,"(182, 3, 2)",2
84,85,117,"(84, 85, 117)",2
182,35,3,"(182, 35, 3)",2
182,35,2,"(182, 35, 2)",2
84,117,85,"(84, 117, 85)",2
182,2,3,"(182, 2, 3)",2
182,2,35,"(182, 2, 35)",2
85,84,117,"(85, 84, 117)",2
85,117,84,"(85, 117, 84)",2
258,240,94,"(258, 240, 94)",2
195,116,34,"(195, 116, 34)",2
115,109,234,"(115, 109, 234)",2
36,193,38,"(36, 193, 38)",2
3,155,30,"(3, 155, 30)",2
155,30,3,"(155, 30, 3)",2
104,153,209,"(104, 153, 209)",2
37,353,34,"(37, 353, 34)",2
104,209,153,"(104, 209, 153)",2
153,104,209,"(153, 104, 209)",2
153,209,104,"(153, 209, 104)",2
209,104,153,"(209, 104, 153)",2
209,153,104,"(209, 153, 104)",2
155,3,30,"(155, 3, 30)",2
36,38,193,"(36, 38, 193)",2
30,58,52,"(30, 58, 52)",2
30,52,58,"(30, 52, 58)",2
195,34,116,"(195, 34, 116)",2
193,38,36,"(193, 38, 36)",2
58,30,52,"(58, 30, 52)",2
58,52,30,"(58, 52, 30)",2
193,36,38,"(193, 36, 38)",2
52,30,58,"(52, 30, 58)",2
52,58,30,"(52, 58, 30)",2
163,150,29,"(163, 150, 29)",2
163,29,150,"(163, 29, 150)",2
150,163,29,"(150, 163, 29)",2
150,29,163,"(150, 29, 163)",2
29,163,150,"(29, 163, 150)",2
29,150,163,"(29, 150, 163)",2
117,84,85,"(117, 84, 85)",2
117,85,84,"(117, 85, 84)",2
3,182,35,"(3, 182, 35)",2
73,87,1,"(73, 87, 1)",2
44,43,168,"(44, 43, 168)",2
43,45,168,"(43, 45, 168)",2
43,168,45,"(43, 168, 45)",2
43,168,44,"(43, 168, 44)",2
43,44,168,"(43, 44, 168)",2
16,204,194,"(16, 204, 194)",2
16,194,204,"(16, 194, 204)",2
204,16,194,"(204, 16, 194)",2
204,194,16,"(204, 194, 16)",2
73,1,14,"(73, 1, 14)",2
73,1,87,"(73, 1, 87)",2
73,14,1,"(73, 14, 1)",2
1,73,14,"(1, 73, 14)",2
3,182,2,"(3, 182, 2)",2
1,73,87,"(1, 73, 87)",2
1,14,73,"(1, 14, 73)",2
1,87,73,"(1, 87, 73)",2
14,73,1,"(14, 73, 1)",2
14,1,73,"(14, 1, 73)",2
87,73,1,"(87, 73, 1)",2
87,1,73,"(87, 1, 73)",2
194,16,204,"(194, 16, 204)",2
194,204,16,"(194, 204, 16)",2
109,120,286,"(109, 120, 286)",2
109,120,281,"(109, 120, 281)",2
109,254,286,"(109, 254, 286)",2
44,168,43,"(44, 168, 43)",2
44,168,45,"(44, 168, 45)",2
44,45,168,"(44, 45, 168)",2
168,43,44,"(168, 43, 44)",2
3,35,182,"(3, 35, 182)",2
3,2,182,"(3, 2, 182)",2
35,182,3,"(35, 182, 3)",2
35,182,2,"(35, 182, 2)",2
177,48,99,"(177, 48, 99)",2
35,3,182,"(35, 3, 182)",2
177,99,48,"(177, 99, 48)",2
35,2,182,"(35, 2, 182)",2
48,177,99,"(48, 177, 99)",2
48,99,177,"(48, 99, 177)",2
99,177,48,"(99, 177, 48)",2
99,48,177,"(99, 48, 177)",2
2,182,3,"(2, 182, 3)",2
2,182,35,"(2, 182, 35)",2
2,3,182,"(2, 3, 182)",2
2,35,182,"(2, 35, 182)",2
45,168,44,"(45, 168, 44)",2
45,168,43,"(45, 168, 43)",2
45,44,168,"(45, 44, 168)",2
45,43,168,"(45, 43, 168)",2
168,45,44,"(168, 45, 44)",2
168,45,43,"(168, 45, 43)",2
168,44,45,"(168, 44, 45)",2
168,44,43,"(168, 44, 43)",2
168,43,45,"(168, 43, 45)",2
3,30,155,"(3, 30, 155)",2
37,34,353,"(37, 34, 353)",2
30,155,3,"(30, 155, 3)",2
177,42,30,"(177, 42, 30)",2
6,126,94,"(6, 126, 94)",2
136,42,94,"(136, 42, 94)",2
136,94,42,"(136, 94, 42)",2
72,52,121,"(72, 52, 121)",2
72,121,52,"(72, 121, 52)",2
30,42,177,"(30, 42, 177)",2
30,177,42,"(30, 177, 42)",2
42,30,177,"(42, 30, 177)",2
42,177,30,"(42, 177, 30)",2
52,72,121,"(52, 72, 121)",2
52,121,72,"(52, 121, 72)",2
177,30,42,"(177, 30, 42)",2
121,72,52,"(121, 72, 52)",2
307,181,266,"(307, 181, 266)",2
121,52,72,"(121, 52, 72)",2
331,68,115,"(331, 68, 115)",2
81,307,266,"(81, 307, 266)",2
81,307,181,"(81, 307, 181)",2
81,266,307,"(81, 266, 307)",2
81,266,181,"(81, 266, 181)",2
81,181,307,"(81, 181, 307)",2
81,181,266,"(81, 181, 266)",2
307,81,266,"(307, 81, 266)",2
307,81,181,"(307, 81, 181)",2
307,266,81,"(307, 266, 81)",2
307,266,181,"(307, 266, 181)",2
6,94,126,"(6, 94, 126)",2
104,84,117,"(104, 84, 117)",2
6,94,42,"(6, 94, 42)",2
104,117,84,"(104, 117, 84)",2
42,6,94,"(42, 6, 94)",2
168,81,114,"(168, 81, 114)",2
168,114,81,"(168, 114, 81)",2
42,136,94,"(42, 136, 94)",2
81,168,114,"(81, 168, 114)",2
81,114,168,"(81, 114, 168)",2
114,168,81,"(114, 168, 81)",2
114,81,168,"(114, 81, 168)",2
155,175,10,"(155, 175, 10)",2
155,10,175,"(155, 10, 175)",2
94,42,6,"(94, 42, 6)",2
94,42,136,"(94, 42, 136)",2
175,155,10,"(175, 155, 10)",2
175,10,155,"(175, 10, 155)",2
94,126,6,"(94, 126, 6)",2
94,6,42,"(94, 6, 42)",2
94,6,126,"(94, 6, 126)",2
94,136,42,"(94, 136, 42)",2
84,117,104,"(84, 117, 104)",2
10,155,175,"(10, 155, 175)",2
10,175,155,"(10, 175, 155)",2
84,104,117,"(84, 104, 117)",2
126,94,6,"(126, 94, 6)",2
126,6,94,"(126, 6, 94)",2
6,42,94,"(6, 42, 94)",2
307,181,81,"(307, 181, 81)",2
266,81,307,"(266, 81, 307)",2
30,3,155,"(30, 3, 155)",2
127,30,29,"(127, 30, 29)",2
0,2,147,"(0, 2, 147)",2
0,147,2,"(0, 147, 2)",2
34,116,195,"(34, 116, 195)",2
147,2,0,"(147, 2, 0)",2
147,0,2,"(147, 0, 2)",2
34,195,116,"(34, 195, 116)",2
116,34,195,"(116, 34, 195)",2
29,127,30,"(29, 127, 30)",2
29,30,127,"(29, 30, 127)",2
34,353,37,"(34, 353, 37)",2
127,29,30,"(127, 29, 30)",2
34,37,353,"(34, 37, 353)",2
30,29,127,"(30, 29, 127)",2
266,81,181,"(266, 81, 181)",2
30,127,29,"(30, 127, 29)",2
116,195,34,"(116, 195, 34)",2
10,256,4,"(10, 256, 4)",2
10,4,256,"(10, 4, 256)",2
256,10,4,"(256, 10, 4)",2
256,4,10,"(256, 4, 10)",2
353,34,37,"(353, 34, 37)",2
4,10,256,"(4, 10, 256)",2
353,37,34,"(353, 37, 34)",2
4,256,10,"(4, 256, 10)",2
38,36,193,"(38, 36, 193)",2
38,193,36,"(38, 193, 36)",2
2,147,0,"(2, 147, 0)",2
2,0,147,"(2, 0, 147)",2
78,42,203,"(78, 42, 203)",2
78,203,42,"(78, 203, 42)",2
266,307,81,"(266, 307, 81)",2
266,307,181,"(266, 307, 181)",2
266,181,81,"(266, 181, 81)",2
266,181,307,"(266, 181, 307)",2
181,81,307,"(181, 81, 307)",2
181,81,266,"(181, 81, 266)",2
181,307,81,"(181, 307, 81)",2
181,307,266,"(181, 307, 266)",2
181,266,81,"(181, 266, 81)",2
181,266,307,"(181, 266, 307)",2
331,115,68,"(331, 115, 68)",2
68,331,115,"(68, 331, 115)",2
270,119,330,"(270, 119, 330)",2
270,330,119,"(270, 330, 119)",2
119,270,330,"(119, 270, 330)",2
119,330,270,"(119, 330, 270)",2
330,270,119,"(330, 270, 119)",2
330,119,270,"(330, 119, 270)",2
68,115,331,"(68, 115, 331)",2
203,42,78,"(203, 42, 78)",2
203,78,42,"(203, 78, 42)",2
115,331,68,"(115, 331, 68)",2
42,203,78,"(42, 203, 78)",2
115,68,331,"(115, 68, 331)",2
42,78,203,"(42, 78, 203)",2
109,286,120,"(109, 286, 120)",2
109,286,254,"(109, 286, 254)",2
109,281,120,"(109, 281, 120)",2
108,226,109,"(108, 226, 109)",2
226,155,109,"(226, 155, 109)",2
147,72,155,"(147, 72, 155)",2
147,155,72,"(147, 155, 72)",2
72,147,155,"(72, 147, 155)",2
72,155,147,"(72, 155, 147)",2
226,147,109,"(226, 147, 109)",2
155,147,72,"(155, 147, 72)",2
155,72,147,"(155, 72, 147)",2
226,108,109,"(226, 108, 109)",2
226,109,155,"(226, 109, 155)",2
226,109,147,"(226, 109, 147)",2
226,109,108,"(226, 109, 108)",2
108,109,226,"(108, 109, 226)",2
40,145,94,"(40, 145, 94)",2
109,155,226,"(109, 155, 226)",2
109,147,226,"(109, 147, 226)",2
109,226,155,"(109, 226, 155)",2
109,226,147,"(109, 226, 147)",2
109,226,108,"(109, 226, 108)",2
109,108,226,"(109, 108, 226)",2
35,4,2,"(35, 4, 2)",2
35,2,4,"(35, 2, 4)",2
4,35,2,"(4, 35, 2)",2
4,2,35,"(4, 2, 35)",2
2,35,4,"(2, 35, 4)",2
2,4,35,"(2, 4, 35)",2
44,262,126,"(44, 262, 126)",2
44,126,262,"(44, 126, 262)",2
262,44,126,"(262, 44, 126)",2
262,126,44,"(262, 126, 44)",2
48,73,72,"(48, 73, 72)",2
73,68,14,"(73, 68, 14)",2
73,72,48,"(73, 72, 48)",2
73,48,72,"(73, 48, 72)",2
73,14,68,"(73, 14, 68)",2
155,226,109,"(155, 226, 109)",2
155,109,226,"(155, 109, 226)",2
14,68,73,"(14, 68, 73)",2
109,107,58,"(109, 107, 58)",2
14,73,68,"(14, 73, 68)",2
147,226,109,"(147, 226, 109)",2
109,58,107,"(109, 58, 107)",2
107,109,58,"(107, 109, 58)",2
107,58,109,"(107, 58, 109)",2
58,109,107,"(58, 109, 107)",2
58,107,109,"(58, 107, 109)",2
147,109,226,"(147, 109, 226)",2
126,262,44,"(126, 262, 44)",2
126,44,262,"(126, 44, 262)",2
120,256,48,"(120, 256, 48)",2
120,48,256,"(120, 48, 256)",2
256,120,48,"(256, 120, 48)",2
256,48,120,"(256, 48, 120)",2
48,120,256,"(48, 120, 256)",2
48,256,120,"(48, 256, 120)",2
40,94,145,"(40, 94, 145)",2
198,48,155,"(198, 48, 155)",2
68,14,73,"(68, 14, 73)",2
93,114,94,"(93, 114, 94)",2
147,29,3,"(147, 29, 3)",2
175,34,94,"(175, 34, 94)",2
147,3,29,"(147, 3, 29)",2
3,29,147,"(3, 29, 147)",2
3,147,29,"(3, 147, 29)",2
94,175,34,"(94, 175, 34)",2
94,114,93,"(94, 114, 93)",2
94,93,114,"(94, 93, 114)",2
114,94,93,"(114, 94, 93)",2
114,93,94,"(114, 93, 94)",2
94,34,175,"(94, 34, 175)",2
93,94,114,"(93, 94, 114)",2
34,175,94,"(34, 175, 94)",2
198,155,48,"(198, 155, 48)",2
34,94,175,"(34, 94, 175)",2
197,3,87,"(197, 3, 87)",2
280,380,278,"(280, 380, 278)",2
280,278,380,"(280, 278, 380)",2
380,280,278,"(380, 280, 278)",2
380,278,280,"(380, 278, 280)",2
278,280,380,"(278, 280, 380)",2
278,380,280,"(278, 380, 280)",2
197,87,3,"(197, 87, 3)",2
278,279,380,"(278, 279, 380)",2
278,380,279,"(278, 380, 279)",2
279,278,380,"(279, 278, 380)",2
175,94,34,"(175, 94, 34)",2
29,3,147,"(29, 3, 147)",2
29,147,3,"(29, 147, 3)",2
145,41,94,"(145, 41, 94)",2
48,198,155,"(48, 198, 155)",2
48,155,198,"(48, 155, 198)",2
155,198,48,"(155, 198, 48)",2
155,48,198,"(155, 48, 198)",2
13,68,176,"(13, 68, 176)",2
13,176,68,"(13, 176, 68)",2
68,13,176,"(68, 13, 176)",2
68,176,13,"(68, 176, 13)",2
162,302,237,"(162, 302, 237)",2
162,237,302,"(162, 237, 302)",2
176,13,68,"(176, 13, 68)",2
176,68,13,"(176, 68, 13)",2
302,162,237,"(302, 162, 237)",2
302,237,162,"(302, 237, 162)",2
237,162,302,"(237, 162, 302)",2
237,302,162,"(237, 302, 162)",2
94,40,145,"(94, 40, 145)",2
94,41,145,"(94, 41, 145)",2
94,145,40,"(94, 145, 40)",2
94,145,41,"(94, 145, 41)",2
41,94,145,"(41, 94, 145)",2
41,145,94,"(41, 145, 94)",2
145,40,94,"(145, 40, 94)",2
145,94,40,"(145, 94, 40)",2
145,94,41,"(145, 94, 41)",2
48,72,73,"(48, 72, 73)",2
104,72,269,"(104, 72, 269)",2
225,236,159,"(225, 236, 159)",2
112,86,111,"(112, 86, 111)",2
100,20,244,"(100, 20, 244)",2
100,18,244,"(100, 18, 244)",2
244,100,20,"(244, 100, 20)",2
244,100,18,"(244, 100, 18)",2
244,20,100,"(244, 20, 100)",2
244,18,100,"(244, 18, 100)",2
20,100,244,"(20, 100, 244)",2
20,244,100,"(20, 244, 100)",2
18,100,244,"(18, 100, 244)",2
18,244,100,"(18, 244, 100)",2
159,225,236,"(159, 225, 236)",2
112,111,86,"(112, 111, 86)",2
159,236,225,"(159, 236, 225)",2
34,212,61,"(34, 212, 61)",2
111,112,86,"(111, 112, 86)",2
111,86,112,"(111, 86, 112)",2
86,112,111,"(86, 112, 111)",2
86,111,112,"(86, 111, 112)",2
105,42,32,"(105, 42, 32)",2
105,32,42,"(105, 32, 42)",2
42,105,32,"(42, 105, 32)",2
42,32,105,"(42, 32, 105)",2
32,105,42,"(32, 105, 42)",2
32,42,105,"(32, 42, 105)",2
212,34,61,"(212, 34, 61)",2
212,61,34,"(212, 61, 34)",2
100,244,18,"(100, 244, 18)",2
100,244,20,"(100, 244, 20)",2
236,159,225,"(236, 159, 225)",2
236,225,159,"(236, 225, 159)",2
120,109,286,"(120, 109, 286)",2
120,109,281,"(120, 109, 281)",2
220,159,235,"(220, 159, 235)",2
225,159,236,"(225, 159, 236)",2
120,286,109,"(120, 286, 109)",2
220,235,159,"(220, 235, 159)",2
120,281,109,"(120, 281, 109)",2
254,109,286,"(254, 109, 286)",2
254,286,109,"(254, 286, 109)",2
159,220,235,"(159, 220, 235)",2
159,235,220,"(159, 235, 220)",2
286,109,120,"(286, 109, 120)",2
286,109,254,"(286, 109, 254)",2
286,120,109,"(286, 120, 109)",2
175,189,255,"(175, 189, 255)",2
175,255,189,"(175, 255, 189)",2
286,254,109,"(286, 254, 109)",2
189,175,255,"(189, 175, 255)",2
189,255,175,"(189, 255, 175)",2
255,175,189,"(255, 175, 189)",2
255,189,175,"(255, 189, 175)",2
281,109,120,"(281, 109, 120)",2
235,220,159,"(235, 220, 159)",2
281,120,109,"(281, 120, 109)",2
235,159,220,"(235, 159, 220)",2
142,164,66,"(142, 164, 66)",2
142,66,164,"(142, 66, 164)",2
72,73,48,"(72, 73, 48)",2
42,108,126,"(42, 108, 126)",2
50,204,104,"(50, 204, 104)",2
104,126,42,"(104, 126, 42)",2
104,42,126,"(104, 42, 126)",2
126,104,42,"(126, 104, 42)",2
126,108,42,"(126, 108, 42)",2
126,42,104,"(126, 42, 104)",2
126,42,108,"(126, 42, 108)",2
108,126,42,"(108, 126, 42)",2
108,42,126,"(108, 42, 126)",2
42,104,126,"(42, 104, 126)",2
42,126,104,"(42, 126, 104)",2
42,126,108,"(42, 126, 108)",2
118,217,116,"(118, 217, 116)",2
34,61,212,"(34, 61, 212)",2
118,116,217,"(118, 116, 217)",2
217,118,116,"(217, 118, 116)",2
217,116,118,"(217, 116, 118)",2
116,118,217,"(116, 118, 217)",2
116,217,118,"(116, 217, 118)",2
269,72,104,"(269, 72, 104)",2
269,104,72,"(269, 104, 72)",2
72,269,104,"(72, 269, 104)",2
72,104,269,"(72, 104, 269)",2
72,48,73,"(72, 48, 73)",2
104,269,72,"(104, 269, 72)",2
68,73,14,"(68, 73, 14)",2
50,104,204,"(50, 104, 204)",2
204,50,104,"(204, 50, 104)",2
204,104,50,"(204, 104, 50)",2
104,50,204,"(104, 50, 204)",2
164,142,66,"(164, 142, 66)",2
164,66,142,"(164, 66, 142)",2
66,142,164,"(66, 142, 164)",2
61,212,34,"(61, 212, 34)",2
66,164,142,"(66, 164, 142)",2
61,34,212,"(61, 34, 212)",2
140,273,302,"(140, 273, 302)",2
140,302,273,"(140, 302, 273)",2
273,140,302,"(273, 140, 302)",2
273,302,140,"(273, 302, 140)",2
302,140,273,"(302, 140, 273)",2
302,273,140,"(302, 273, 140)",2
150,237,162,"(150, 237, 162)",2
150,162,237,"(150, 162, 237)",2
237,150,162,"(237, 150, 162)",2
237,162,150,"(237, 162, 150)",2
162,150,237,"(162, 150, 237)",2
162,237,150,"(162, 237, 150)",2
4,75,32,"(4, 75, 32)",2
4,32,75,"(4, 32, 75)",2
75,4,32,"(75, 4, 32)",2
75,32,4,"(75, 32, 4)",2
32,4,75,"(32, 4, 75)",2
32,75,4,"(32, 75, 4)",2
104,204,50,"(104, 204, 50)",2
115,234,109,"(115, 234, 109)",2
42,94,136,"(42, 94, 136)",2
72,52,186,"(72, 52, 186)",2
42,32,136,"(42, 32, 136)",2
13,94,0,"(13, 94, 0)",2
13,94,2,"(13, 94, 2)",2
13,0,94,"(13, 0, 94)",2
13,2,94,"(13, 2, 94)",2
94,13,0,"(94, 13, 0)",2
94,13,2,"(94, 13, 2)",2
94,0,13,"(94, 0, 13)",2
94,2,13,"(94, 2, 13)",2
0,13,94,"(0, 13, 94)",2
0,94,13,"(0, 94, 13)",2
2,13,94,"(2, 13, 94)",2
2,94,13,"(2, 94, 13)",2
42,4,61,"(42, 4, 61)",2
155,190,195,"(155, 190, 195)",2
42,136,32,"(42, 136, 32)",2
42,61,59,"(42, 61, 59)",2
42,61,4,"(42, 61, 4)",2
32,42,136,"(32, 42, 136)",2
32,136,42,"(32, 136, 42)",2
136,42,32,"(136, 42, 32)",2
136,32,42,"(136, 32, 42)",2
68,62,39,"(68, 62, 39)",2
86,27,11,"(86, 27, 11)",2
86,4,11,"(86, 4, 11)",2
86,11,27,"(86, 11, 27)",2
86,11,4,"(86, 11, 4)",2
155,158,195,"(155, 158, 195)",2
155,195,158,"(155, 195, 158)",2
42,94,6,"(42, 94, 6)",2
281,158,195,"(281, 158, 195)",2
195,281,158,"(195, 281, 158)",2
195,190,281,"(195, 190, 281)",2
195,190,155,"(195, 190, 155)",2
195,158,281,"(195, 158, 281)",2
195,158,155,"(195, 158, 155)",2
42,4,59,"(42, 4, 59)",2
195,155,190,"(195, 155, 190)",2
195,155,158,"(195, 155, 158)",2
281,195,190,"(281, 195, 190)",2
281,195,158,"(281, 195, 158)",2
281,190,195,"(281, 190, 195)",2
281,190,158,"(281, 190, 158)",2
281,158,190,"(281, 158, 190)",2
155,195,190,"(155, 195, 190)",2
190,195,281,"(190, 195, 281)",2
190,195,155,"(190, 195, 155)",2
190,281,195,"(190, 281, 195)",2
190,281,158,"(190, 281, 158)",2
190,158,281,"(190, 158, 281)",2
190,155,195,"(190, 155, 195)",2
158,195,281,"(158, 195, 281)",2
158,195,155,"(158, 195, 155)",2
158,281,195,"(158, 281, 195)",2
158,281,190,"(158, 281, 190)",2
158,190,281,"(158, 190, 281)",2
158,155,195,"(158, 155, 195)",2
27,86,11,"(27, 86, 11)",2
27,11,86,"(27, 11, 86)",2
4,86,11,"(4, 86, 11)",2
114,151,126,"(114, 151, 126)",2
124,12,10,"(124, 12, 10)",2
114,68,266,"(114, 68, 266)",2
126,125,39,"(126, 125, 39)",2
126,39,125,"(126, 39, 125)",2
39,68,62,"(39, 68, 62)",2
105,4,59,"(105, 4, 59)",2
151,114,126,"(151, 114, 126)",2
39,68,125,"(39, 68, 125)",2
105,59,4,"(105, 59, 4)",2
151,126,114,"(151, 126, 114)",2
151,81,82,"(151, 81, 82)",2
151,82,81,"(151, 82, 81)",2
128,4,59,"(128, 4, 59)",2
4,11,86,"(4, 11, 86)",2
114,126,151,"(114, 126, 151)",2
